Date,Order_dir,Quantity,Price
01/02/2017,BUY,1,270.7
02/02/2017,BUY,1,273.3
03/02/2017,BUY,1,277.55
06/02/2017,BUY,1,277.05
09/02/2017,SELL,1,275.85
13/02/2017,BUY,1,271.65
14/02/2017,BUY,1,270.2
03/03/2017,SELL,1,265.05
06/03/2017,SELL,1,269.85
08/03/2017,BUY,1,269.9
10/03/2017,BUY,1,272.05
27/03/2017,SELL,1,279.45
28/03/2017,SELL,1,282.1
29/03/2017,SELL,1,288.45
30/03/2017,BUY,1,291.05
03/04/2017,SELL,1,293.15
05/04/2017,SELL,1,297.35
12/04/2017,BUY,1,290.15
18/04/2017,BUY,1,290.3
19/04/2017,BUY,1,284.05
20/04/2017,BUY,1,284.8
05/05/2017,SELL,1,296
08/05/2017,SELL,1,299.4
09/05/2017,SELL,1,296.5
12/05/2017,BUY,1,297.9
15/05/2017,BUY,1,301.4
16/05/2017,BUY,1,307.5
27/06/2017,SELL,1,279.65
30/06/2017,SELL,1,273.65
03/07/2017,SELL,1,274.85
04/07/2017,SELL,1,273
05/07/2017,SELL,1,274.9
06/07/2017,SELL,1,281
07/07/2017,BUY,1,280.1
10/07/2017,BUY,1,285.55
11/07/2017,BUY,1,283.55
12/07/2017,BUY,1,287.65
13/07/2017,BUY,1,288.75
18/07/2017,BUY,1,291
09/08/2017,SELL,1,302.3
10/08/2017,SELL,1,296.7
11/08/2017,SELL,1,280.15
16/08/2017,BUY,1,283.1
17/08/2017,BUY,1,280.85
21/08/2017,SELL,1,274.65
23/08/2017,BUY,1,279
29/08/2017,SELL,1,277
30/08/2017,BUY,1,276.6
31/08/2017,BUY,1,277.75
04/09/2017,SELL,1,277.75
07/09/2017,BUY,1,274.2
22/09/2017,SELL,1,261.85
25/09/2017,SELL,1,258.75
26/09/2017,SELL,1,258.25
27/09/2017,SELL,1,250.4
28/09/2017,SELL,1,252.55
11/10/2017,SELL,1,251.75
12/10/2017,BUY,1,251.2
13/10/2017,BUY,1,252.1
16/10/2017,BUY,1,252.05
17/10/2017,BUY,1,251.15
18/10/2017,BUY,1,243.75
19/10/2017,BUY,1,242.75
25/10/2017,SELL,1,324.9
26/10/2017,SELL,1,320.5
27/10/2017,SELL,1,311.05
30/10/2017,SELL,1,312
31/10/2017,SELL,1,305.8
01/11/2017,SELL,1,319.85
07/11/2017,BUY,1,317.2
08/11/2017,BUY,1,309.55
09/11/2017,BUY,1,313.7
10/11/2017,SELL,1,333.55
13/11/2017,SELL,1,331.05
14/11/2017,SELL,1,329.1
15/11/2017,SELL,1,324.95
16/11/2017,SELL,1,333.4
20/11/2017,BUY,1,333
21/11/2017,BUY,1,330.65
22/11/2017,BUY,1,335.3
23/11/2017,BUY,1,334.95
24/11/2017,BUY,1,332.4
27/11/2017,BUY,1,335.65
28/11/2017,BUY,1,332
