Date,Order_dir,Quantity,Price
05/01/2016,BUY,1,217.75
11/01/2016,BUY,1,204.3
12/01/2016,BUY,1,199.4
15/01/2016,BUY,1,184.3
02/03/2016,SELL,1,181.15
03/03/2016,SELL,1,182.75
04/03/2016,SELL,1,188.4
05/04/2016,BUY,1,184.35
06/04/2016,BUY,1,183.85
07/04/2016,BUY,1,181.95
27/05/2016,SELL,1,195.9
30/05/2016,SELL,1,198.85
31/05/2016,SELL,1,204.95
12/07/2016,SELL,1,226.7
13/07/2016,SELL,1,227.7
14/07/2016,BUY,1,232
15/07/2016,SELL,1,231.5
18/07/2016,BUY,1,228.75
05/08/2016,SELL,1,232.75
08/08/2016,BUY,1,233.25
09/08/2016,SELL,1,235.15
17/08/2016,SELL,1,246.25
18/08/2016,SELL,1,248.4
19/08/2016,SELL,1,258.5
03/11/2016,BUY,1,245.65
04/11/2016,BUY,1,242.85
09/11/2016,SELL,1,260
11/11/2016,SELL,1,273
15/11/2016,SELL,1,278.2
22/12/2016,BUY,1,249.8
23/12/2016,BUY,1,249.15
26/12/2016,BUY,1,244.2
02/01/2017,BUY,1,243.6
07/02/2017,SELL,1,277.9
22/03/2017,BUY,1,267.5
23/03/2017,BUY,1,268.5
29/03/2017,SELL,1,288.45
30/03/2017,SELL,1,291.05
18/04/2017,BUY,1,290.3
19/04/2017,BUY,1,284.05
20/04/2017,BUY,1,284.8
21/04/2017,BUY,1,282.2
06/06/2017,BUY,1,287.3
07/06/2017,BUY,1,290.55
28/06/2017,BUY,1,276.4
31/07/2017,SELL,1,312.5
09/08/2017,SELL,1,302.3
10/08/2017,SELL,1,296.7
30/08/2017,BUY,1,276.6
31/08/2017,BUY,1,277.75
01/09/2017,BUY,1,277.85
25/10/2017,SELL,1,324.9
26/10/2017,SELL,1,320.5
08/12/2017,BUY,1,313.1
15/12/2017,BUY,1,312.25
