Date,Order_dir,Quantity,Price
01/11/2018,BUY,1,1912.2
12/11/2018,BUY,1,1921.05
14/11/2018,SELL,1,1957.75
15/11/2018,SELL,1,1975.15
16/11/2018,SELL,1,2004.3
19/11/2018,SELL,1,2013.9
20/11/2018,SELL,1,2012.45
21/11/2018,SELL,1,2018.75
22/11/2018,SELL,1,2005.5
26/11/2018,SELL,1,2049.8
27/11/2018,SELL,1,2064
28/11/2018,SELL,1,2089.25
11/12/2018,BUY,1,2059.55
12/12/2018,BUY,1,2085.3
17/12/2018,SELL,1,2130.2
18/12/2018,SELL,1,2135.45
24/12/2018,BUY,1,2080.65
27/12/2018,BUY,1,2105.05
01/01/2019,SELL,1,2148.1
02/01/2019,SELL,1,2128.5
08/01/2019,BUY,1,2103
09/01/2019,BUY,1,2116.8
10/01/2019,BUY,1,2108.5
11/01/2019,BUY,1,2111.9
14/01/2019,BUY,1,2101.65
15/01/2019,SELL,1,2121.9
16/01/2019,SELL,1,2120.2
17/01/2019,SELL,1,2132.3
18/01/2019,SELL,1,2130.25
21/01/2019,SELL,1,2148.15
24/01/2019,BUY,1,2102.25
25/01/2019,BUY,1,2096
28/01/2019,BUY,1,2084.15
29/01/2019,BUY,1,2057.6
30/01/2019,BUY,1,2034.7
31/01/2019,BUY,1,2079.95
04/02/2019,SELL,1,2104.9
05/02/2019,SELL,1,2114.05
06/02/2019,SELL,1,2122.65
07/02/2019,SELL,1,2117.25
08/02/2019,SELL,1,2122.65
11/02/2019,SELL,1,2139.65
18/02/2019,BUY,1,2089.9
22/02/2019,BUY,1,2091.45
25/02/2019,SELL,1,2125.4
27/02/2019,BUY,1,2092.25
28/02/2019,BUY,1,2077.55
01/03/2019,BUY,1,2083.35
07/03/2019,SELL,1,2126.5
08/03/2019,SELL,1,2128.2
11/03/2019,SELL,1,2128.45
12/03/2019,SELL,1,2171
02/04/2019,BUY,1,2294.85
03/04/2019,BUY,1,2292.75
04/04/2019,BUY,1,2283.95
08/04/2019,BUY,1,2289.4
09/04/2019,BUY,1,2287.25
10/04/2019,BUY,1,2237.35
11/04/2019,BUY,1,2257.5
12/04/2019,BUY,1,2265.25
15/04/2019,SELL,1,2288.8
16/04/2019,SELL,1,2305.05
18/04/2019,SELL,1,2293.65
23/04/2019,BUY,1,2245.3
30/04/2019,SELL,1,2317.45
02/05/2019,SELL,1,2355.8
03/05/2019,SELL,1,2367.95
06/05/2019,SELL,1,2328.45
07/05/2019,SELL,1,2322.35
10/05/2019,BUY,1,2296.5
13/05/2019,BUY,1,2287.2
14/05/2019,BUY,1,2287.9
15/05/2019,BUY,1,2286.7
17/05/2019,SELL,1,2362.1
20/05/2019,SELL,1,2432.35
