,DATE,HIGH,LOW,PREV. CLOSE,CLOSE,OPEN,VWAP,NO OF TRADES
41,26/02/2018,280.0,273.85,276.05,274.45,280.0,275.75,112427
42,27/02/2018,275.9,265.95,274.45,267.6,273.0,269.55,153426
43,28/02/2018,269.7,260.8,267.6,268.0,264.25,266.14,185589
44,01/03/2018,270.0,261.25,268.0,262.15,266.3,264.62,173004
45,05/03/2018,265.0,258.75,262.15,263.5,260.45,262.51,146913
46,06/03/2018,266.0,255.0,263.5,256.55,265.85,261.43,147230
47,07/03/2018,255.35,246.05,256.55,246.65,255.05,248.97,180424
48,08/03/2018,257.95,244.3,246.65,256.8,247.0,251.48,171219
49,09/03/2018,257.4,251.65,256.8,253.25,257.0,253.89,131269
50,12/03/2018,255.25,247.25,253.25,252.85,254.1,250.26,131673
51,13/03/2018,262.4,249.6,252.85,254.7,251.3,257.1,181837
52,14/03/2018,257.85,250.0,254.7,257.05,252.5,253.76,131180
53,15/03/2018,258.8,252.55,257.05,253.7,257.0,255.63,90568
54,16/03/2018,255.7,250.1,253.7,252.3,250.65,253.17,150302
55,19/03/2018,253.6,246.1,252.3,247.95,252.9,248.8,112744
56,20/03/2018,252.25,245.35,247.95,249.1,246.85,249.43,127033
57,21/03/2018,254.3,247.1,249.1,248.0,251.75,251.2,103548
58,22/03/2018,247.35,240.65,248.0,241.55,247.0,243.47,169794
59,23/03/2018,239.65,232.35,241.55,234.8,237.8,234.77,205532
60,26/03/2018,247.85,234.25,234.8,246.5,234.75,241.69,191534
61,27/03/2018,255.5,248.0,246.5,254.35,250.0,252.05,186644
62,28/03/2018,256.2,248.7,254.35,249.9,252.0,251.61,167989
63,02/04/2018,252.0,244.9,249.9,246.15,251.8,247.21,107701
64,03/04/2018,252.8,248.25,246.15,250.5,249.55,250.35,113047
65,04/04/2018,253.0,245.5,250.5,247.3,251.7,249.33,109181
66,05/04/2018,261.9,250.0,247.3,259.3,252.6,255.0,154532
67,06/04/2018,261.45,254.85,259.3,259.7,259.65,258.38,187342
68,09/04/2018,262.75,257.6,259.7,260.65,260.65,260.74,122085
69,10/04/2018,265.0,258.5,260.65,263.3,261.1,261.62,128190
70,11/04/2018,263.0,256.3,263.3,257.05,263.0,258.33,99011
71,12/04/2018,257.5,252.25,257.05,253.8,257.5,254.2,102493
72,13/04/2018,255.95,249.7,253.8,250.95,254.0,252.57,123494
73,16/04/2018,251.3,247.1,250.95,249.0,249.35,249.11,91738
74,17/04/2018,252.5,246.6,249.0,248.15,251.4,249.5,101479
75,18/04/2018,249.9,245.3,248.15,246.45,249.5,247.67,137163
76,19/04/2018,248.45,245.2,246.45,246.15,247.1,246.67,79014
77,20/04/2018,245.85,239.5,246.15,241.2,245.85,241.56,115151
78,23/04/2018,244.85,239.3,241.2,242.45,241.9,242.55,75286
79,24/04/2018,243.4,239.6,242.45,240.6,242.0,241.32,69116
80,25/04/2018,240.75,236.75,240.6,237.2,239.7,238.78,83988
81,26/04/2018,238.8,232.5,237.2,233.2,238.4,234.73,151982
82,27/04/2018,245.8,233.25,233.2,242.6,233.25,242.46,203123
83,30/04/2018,249.7,244.5,242.6,246.4,244.8,247.11,102753
84,02/05/2018,246.3,239.75,246.4,241.0,245.9,242.08,96574
85,03/05/2018,243.4,238.75,241.0,241.9,240.95,241.21,82594
86,04/05/2018,243.9,240.35,241.9,241.95,243.5,242.15,69129
87,07/05/2018,248.2,242.05,241.95,246.5,242.45,245.59,93517
88,08/05/2018,252.6,244.6,246.5,250.05,248.0,249.25,138529
89,09/05/2018,249.8,246.3,250.05,248.0,249.8,247.83,66742
90,10/05/2018,250.2,246.3,248.0,247.95,248.25,247.98,72818
91,11/05/2018,251.6,246.05,247.95,250.35,247.6,248.66,64606
92,14/05/2018,255.8,248.15,250.35,253.6,249.95,253.57,97405
93,15/05/2018,257.45,245.9,253.6,248.0,253.0,252.61,114730
94,16/05/2018,248.7,240.6,248.0,243.1,245.5,244.2,103543
95,17/05/2018,246.0,241.15,243.1,242.7,244.2,244.1,73063
96,18/05/2018,244.0,237.85,242.7,238.85,243.0,240.29,110146
97,21/05/2018,245.75,240.3,238.85,244.45,243.55,243.18,112369
98,22/05/2018,259.7,241.0,244.45,253.9,243.65,250.57,363023
99,23/05/2018,269.75,254.3,253.9,263.2,254.65,265.25,422897
100,24/05/2018,269.7,260.65,263.2,268.5,263.85,266.17,184520
101,25/05/2018,268.4,262.55,268.5,266.95,267.8,265.26,135789
102,28/05/2018,274.2,266.05,266.95,272.05,267.4,270.84,134180
103,29/05/2018,270.95,262.8,272.05,264.3,270.5,266.1,115411
104,30/05/2018,268.0,259.95,264.3,267.15,260.5,264.32,108400
105,31/05/2018,274.8,263.15,267.15,269.55,266.85,267.78,152047
106,01/06/2018,269.8,264.6,269.55,266.7,269.25,266.65,130807
107,04/06/2018,268.35,261.3,266.7,263.0,268.0,264.38,88328
108,05/06/2018,265.25,260.9,263.0,263.55,260.9,263.48,121807
109,06/06/2018,271.4,262.2,263.55,270.15,263.0,267.41,138946
110,07/06/2018,272.9,268.4,270.15,269.65,271.05,270.87,116128
111,08/06/2018,273.9,267.0,269.65,273.0,268.95,270.5,93897
112,11/06/2018,278.4,273.15,273.0,274.0,273.3,276.37,141047
113,12/06/2018,284.4,274.0,274.0,282.85,274.0,279.19,214059
114,13/06/2018,289.65,283.65,282.85,287.7,284.0,287.25,252647
115,14/06/2018,286.55,281.3,287.7,282.6,286.55,282.97,123178
116,15/06/2018,283.45,276.6,282.6,277.45,282.75,279.23,116041
117,18/06/2018,279.75,275.45,277.45,276.85,278.0,277.04,113699
118,19/06/2018,276.7,269.75,276.85,272.6,276.0,273.05,112990
119,20/06/2018,274.75,271.1,272.6,273.3,273.2,273.0,99962
120,21/06/2018,274.75,268.1,273.3,268.65,274.75,270.59,118737
121,22/06/2018,273.7,265.75,268.65,273.05,269.0,270.13,189076
122,25/06/2018,273.15,267.2,273.05,268.45,271.85,270.3,90277
123,26/06/2018,271.2,265.4,268.45,267.4,267.25,268.27,105136
124,27/06/2018,267.35,261.0,267.4,261.7,267.35,263.58,96681
125,28/06/2018,262.0,255.7,261.7,257.0,260.4,258.17,123640
126,29/06/2018,263.45,258.2,257.0,259.35,258.25,260.91,158728
127,02/07/2018,261.75,254.0,259.35,258.85,258.95,257.62,125980
128,03/07/2018,260.9,256.4,258.85,257.5,259.6,258.07,92458
129,04/07/2018,258.35,254.5,257.5,257.45,255.75,256.66,100359
130,05/07/2018,258.7,255.15,257.45,256.45,257.9,256.98,80185
131,06/07/2018,260.8,255.55,256.45,257.2,256.1,258.29,129539
132,09/07/2018,262.4,257.95,257.2,261.55,258.2,260.67,108471
133,10/07/2018,265.75,262.4,261.55,263.75,263.85,264.4,97898
134,11/07/2018,262.65,257.9,263.75,259.1,262.65,259.68,82878
135,12/07/2018,264.5,261.15,259.1,262.75,261.4,263.07,89222
136,13/07/2018,262.4,256.8,262.75,257.75,262.1,258.26,86192
137,16/07/2018,257.5,251.0,257.75,251.6,257.0,253.33,69096
138,17/07/2018,259.85,250.45,251.6,259.05,250.7,254.84,130839
139,18/07/2018,262.5,256.15,259.05,259.55,260.1,259.11,104122
140,19/07/2018,263.5,256.2,259.55,260.2,259.4,260.67,73048
141,20/07/2018,263.0,258.55,260.2,261.5,259.9,261.28,48921
